0	ñpq	1
1	asf	60
2	äíá	8
3	yüa	1
4	nkô	1
5	äíé	2
6	äíë	1
7	nkü	1
8	?!-	1
9	nkà	3
10	nak	636
11	y î	1
12	îéó	1
13	?! 	10
14	mxb	2
15	wf 	21
16	wf.	2
17	wf,	2
18	wf-	1
19	fbn	19
20	jej	44
21	jek	14
22	jeh	19
23	nks	3847
24	jen	406
25	jeo	102
26	jel	72
27	nkw	5
28	jeb	34
29	jec	12268
30	jea	569
31	jef	515
32	jeg	3
33	jed	86
34	jee	270
35	jez	10
36	nka	698
37	nkb	23
38	nkc	3
39	nkd	1
40	nke	3431
41	nkf	144
42	nkg	30
43	jer	1508
44	nki	4049
45	jep	1
46	nkl	1013
47	jew	2296
48	jet	472
49	nko	126
50	wfu	700
51	wfa	31
52	wfo	93
53	wfl	11
54	wfm	2
55	zá 	7
56	wfi	53
57	je,	10
58	je-	2
59	nië	2
60	nk:	32
61	nk;	21
62	nk?	74
63	nk 	28896
64	nk!	18
65	nk'	131
66	nk,	808
67	nk-	225
68	nk.	482
69	é ä	1
70	.d,	1
71	.d.	557
72	.d 	6
73	.du	7
74	.dt	6
75	.dw	1
76	xy,	34
77	.dr	2
78	.dm	3
79	.dl	23
80	.do	23
81	.dn	5
82	.di	9
83	.dh	3
84	.dk	6
85	.de	29
86	.da	65
87	.db	1
88	llã	1
89	fnl	1
90	y â	1
91	öff	2
92	éa 	1
93	azg	2
94	íêá	3
95	ceq	6
96	újo	1
97	úja	1
98	yd 	195
99	r';	12
100	yd'	11
101	r'?	6
102	yd.	4
103	yd-	2
104	r',	13
105	r'-	2
106	r'.	7
107	r' 	148
108	:da	1
109	--t	3989
110	ydb	6
111	yda	607
112	ydg	1
113	ydd	4
114	yde	642
115	r's	7891
116	ydn	167
117	ydo	42
118	ydl	1
119	r'w	1
120	ydr	1701
121	r'l	5
122	ydu	1
123	r'a	7
124	ydx	15
125	r'd	5
126	r'e	3
127	äbo	4
128	näp	1
129	näg	1
130	e.-	32
131	lló	6
132	kló	15
133	kl,	18
134	kl.	8
135	az-	11
136	kl 	83
137	cv 	297
138	nkp	6
139	nkq	1
140	nkr	211
141	nkt	39
142	nku	38
143	ññj	1
144	kly	2371
145	nkv	4
146	klp	6
147	klr	1
148	jem	21
149	klt	2
150	klu	103
151	klh	12
152	kli	867
153	klk	1
154	kll	1
155	klm	6
156	kln	1
157	klo	342
158	kla	894
159	klb	2
160	kle	1759
161	klf	8
162	klg	1
163	-c;	2
164	jey	4
165	-c 	282
166	-c.	48
167	-c-	49
168	-c,	44
169	wbp	1
170	nkh	35
171	ejn	3
172	jes	1098
173	-cw	2
174	-cu	488
175	-ct	51
176	-cs	45
177	-cr	588
178	-cp	45
179	jev	68
180	avá	3
181	-cz	1
182	-cy	318
183	nkm	35
184	-cg	41
185	-cf	4
186	-ce	2489
187	-cd	309
188	-cc	89
189	nkn	788
190	-ca	2328
191	-co	5023
192	-cn	23
193	-cm	58
194	-cl	1296
195	-ci	307
196	-ch	1346
197	m-z	1
198	.ia	3
199	wfr	17
200	pól	1
201	áje	1
202	ája	3
203	êîé	1
204	etí	1
205	lax	858
206	hgs	20
207	-cô	1
208	hgp	1
209	wfe	1
210	-cé	2
211	ppé	2
212	vf 	22
213	vf.	2
214	vf,	2
215	hgg	1
216	m-q	2
217	lan	37697
218	ii,	840
219	hgb	4
220	ì c	1
221	 tê	9
222	 té	48
223	vfw	2
224	ì f	1
225	 tí	8
226	 tá	11
227	 tà	6
228	ì l	1
229	 tú	4
230	vfa	8
231	brü	7
232	ì w	1
233	hgo	15
234	 tó	2
235	je.	1
