0	ñpq	0
1	asf	5469
2	äíá	0
3	yüa	0
4	nkô	0
5	äíé	0
6	äíë	0
7	nkü	245
8	?!-	0
9	nkà	0
10	nak	77324
11	y î	0
12	îéó	0
13	?! 	0
14	mxb	0
15	wf 	4853
16	wf.	586
17	wf,	613
18	wf-	0
19	fbn	0
20	jej	2061
21	jek	11425
22	jeh	7200
23	nks	39472
24	jen	79011
25	jeo	6427
26	jel	31042
27	nkw	1745
28	jeb	6480
29	jec	177696
30	jea	899689
31	jef	46737
32	jeg	3597
33	jed	21818
34	jee	9704
35	jez	8742
36	nka	75936
37	nkb	1201
38	nkc	1140
39	nkd	570
40	nke	112492
41	nkf	7024
42	nkg	1150
43	jer	106804
44	nki	71410
45	jep	4969
46	nkl	28313
47	jew	16535
48	jet	1569467
49	nko	82872
50	wfu	709
51	wfa	402
52	wfo	7751
53	wfl	552
54	wfm	219
55	zá 	286
56	wfi	1570
57	je,	7289
58	je-	3198
59	nië	2283
60	nk:	807
61	nk;	764
62	nk?	335
63	nk 	160835
64	nk!	296
65	nk'	1166
66	nk,	14113
67	nk-	5488
68	nk.	8001
69	é ä	0
70	.d,	0
71	.d.	23308
72	.d 	1057
73	.du	1815
74	.dt	287
75	.dw	0
76	xy,	1350
77	.dr	1620
78	.dm	306
79	.dl	1043
80	.do	9575
81	.dn	347
82	.di	6956
83	.dh	898
84	.dk	1558
85	.de	26476
86	.da	6277
87	.db	559
88	llã	0
89	fnl	482
90	y â	0
91	öff	1364
92	éa 	22779
93	azg	2235
94	íêá	0
95	ceq	1742
96	újo	962
97	úja	728
98	yd 	21542
99	r';	0
100	yd'	430
101	r'?	0
102	yd.	1284
103	yd-	553
104	r',	822
105	r'-	0
106	r'.	333
107	r' 	3791
108	:da	128531
109	--t	12766
110	ydb	4003
111	yda	30773
112	ydg	1817
113	ydd	4716
114	yde	70283
115	r's	31334
116	ydn	30405
117	ydo	16642
118	ydl	1615
119	r'w	0
120	ydr	106262
121	r'l	0
122	ydu	1106
123	r'a	991
124	ydx	0
125	r'd	293
126	r'e	344
127	äbo	0
128	näp	0
129	näg	288
130	e.-	8076
131	lló	5207
132	kló	2382
133	kl,	647
134	kl.	686
135	az-	5180
136	kl 	2211
137	cv 	6583
138	nkp	955
139	nkq	0
140	nkr	12125
141	nkt	15046
142	nku	9171
143	ññj	0
144	kly	15637
145	nkv	1400
146	klp	0
147	klr	0
148	jem	12259
149	klt	0
150	klu	18022
151	klh	243
152	kli	55108
153	klk	0
154	kll	220
155	klm	1391
156	kln	0
157	klo	38431
158	kla	93982
159	klb	0
160	kle	82288
161	klf	0
162	klg	0
163	-c;	0
164	jey	1085
165	-c 	2373
166	-c.	55330
167	-c-	1058
168	-c,	743
169	wbp	0
170	nkh	9051
171	ejn	4081
172	jes	69363
173	-cw	0
174	-cu	21462
175	-ct	463
176	-cs	1578
177	-cr	56469
178	-cp	1134
179	jev	30089
180	avá	1994
181	-cz	0
182	-cy	19271
183	nkm	2949
184	-cg	1291
185	-cf	805
186	-ce	79086
187	-cd	3403
188	-cc	1049
189	nkn	5268
190	-ca	206928
191	-co	607586
192	-cn	1118
193	-cm	606
194	-cl	119550
195	-ci	242751
196	-ch	265133
197	m-z	735
198	.ia	1538
199	wfr	0
200	pól	1387
201	áje	783
202	ája	2235
203	êîé	0
204	etí	2246
205	lax	40416
206	hgs	421
207	-cô	18903
208	hgp	0
209	wfe	274
210	-cé	8244
211	ppé	97824
212	vf 	43729
213	vf.	429
214	vf,	347
215	hgg	0
216	m-q	0
217	lan	3758177
218	ii,	97620
219	hgb	0
220	ì c	0
221	 tê	149683
222	 té	491079
223	vfw	0
224	ì f	265
225	 tí	1477
226	 tá	3610
227	 tà	1145
228	ì l	0
229	 tú	1941
230	vfa	326
231	brü	12070
232	ì w	0
233	hgo	1219
234	 tó	2253
235	je.	2823
236	vfi	622
237	vfo	0
238	 tö	3730
239	hgm	0
240	lac	1425012
241	je 	855955
242	ppo	626477
243	ppn	1309
244	ppm	2692
245	ppl	227971
246	 t.	61413
247	ppi	88124
248	 t,	3522
249	e!i	0
250	ppe	1098712
251	 t 	24161
252	 t'	30434
253	ppa	511777
254	 t;	0
255	 t:	0
256	 t?	0
257	ppy	23506
258	ppx	0
259	ppw	0
260	ppv	1714
261	ppu	64251
262	ppt	998
263	pps	13562
264	ppr	439384
265	ppp	30186
266	je;	0
267	azú	796
268	 tk	3322
269	e! 	15607
270	 ti	2894599
271	 th	2469679
272	 to	4889183
273	 tn	13035
274	e!'	0
275	 tl	13041
276	 tc	113867
277	 tb	10729
278	 ta	2032626
279	 tg	13227
280	 te	3741265
281	pp 	27970
282	pp?	0
283	 tz	8544
284	 ty	385646
285	 tx	5844
286	pp:	630
287	lía	2140
288	 ts	78288
289	 tr	5120830
290	 tq	1561
291	 tp	9480
292	 tw	66895
293	 tv	110111
294	 tu	740052
295	 tt	8906
296	!..	0
297	!. 	0
298	m-n	1597
299	hw,	0
300	ér 	1998
301	ér,	271
302	as:	19727
303	j,l	0
304	ér;	0
305	érd	385
306	ére	1522448
307	éra	2172066
308	érb	0
309	érc	2496
310	éro	718069
311	éri	3332972
312	ért	3851
313	éru	68688
314	érv	1668
315	érr	4949
316	éry	46852
317	cp.	1627
318	iim	3462
319	iil	5174
320	ówk	1753
321	hg-	0
322	érè	25783
323	éré	428068
324	érô	31950
325	fwd	0
326	, c	2672078
327	, b	722258
328	, a	2552068
329	, g	502795
330	, f	760190
331	, e	3305676
332	, d	2985548
333	, k	167092
334	, j	773640
335	, i	2010368
336	, h	414042
337	, o	915066
338	, n	919239
339	, m	1832494
340	, l	4859306
341	, s	2279718
342	, r	858854
343	, q	952756
344	, p	2844048
345	, w	149373
346	, v	563164
347	, t	1021612
348	, z	44692
349	, y	83673
350	, x	29636
351	a.,	8371
352	a.-	1959
353	a..	15076
354	a. 	407199
355	a.!	0
356	a.'	0
357	a.:	370
358	a.;	502
359	a.?	0
360	,  	0
361	, '	0
362	y::	0
363	, .	0
364	, -	0
365	, ,	0
366	, ;	0
367	, :	0
368	y: 	23312
369	a.h	7251
370	a.i	5234
371	a.k	1389
372	a.l	2495
373	a.m	4961
374	a.n	4664
375	a.o	662040
376	a.a	3632
377	a.b	11857
378	a.c	36470
379	a.d	7021
380	a.e	6568
381	a.f	10567
382	a.g	11331
383	a.x	223
384	a.y	0
385	a.z	415
386	a.p	16595
387	a.r	5735
388	a.s	19715
389	a.t	3472
390	a.u	1591
391	a.v	1705
392	, â	8003
393	, á	1081
394	, à	558504
395	, ä	261
396	, é	558167
397	, ó	493
398	, ö	987
399	, ú	0
400	, ü	499
401	xxx	33402
402	xxw	0
403	xxv	9668
404	xxu	0
405	xxs	0
406	xxp	0
407	xxo	1444
408	xxm	0
409	xxl	683
410	xxk	0
411	xxi	37151
412	xxg	0
413	xxf	0
414	xxe	47883
415	xxc	0
416	xxa	289
417	àla	222
418	xx?	0
419	zjx	0
420	tb:	0
421	zju	443
422	xx.	2362
423	xx-	3923
424	xx,	2524
425	xx'	0
426	àli	1018
427	xx!	0
428	xx 	17651
429	xyv	0
430	laó	0
431	fsa	5989
432	fsb	4321
433	fsc	3711
434	fsd	689
435	fse	4583
436	fsf	1086
437	fsg	1256
438	fsh	4391
439	fsi	3243
440	fsk	7041
441	fsl	762
442	fsp	2045
443	fsr	922
444	fss	4105
445	fst	7821
446	fsu	1215
447	fsw	1214
448	fs 	305570
449	fs'	407
450	fs,	38799
451	fs-	4646
452	fs.	30833
453	tb 	3609
454	fs:	735
455	fs;	254
456	fs?	0
457	mjh	345
458	mji	857
459	fw'	0
460	mjo	1458
461	mja	2595
462	mjc	813
463	mje	2375
464	mjf	0
465	rté	298703
466	ú's	0
467	'br	7147
468	as,	235744
469	mj,	647
470	mj-	0
471	mj 	1811
472	ûlé	10714
473	íáî	0
474	mnt	1387
475	ènc	1252
476	egè	1276
477	egã	0
478	tby	3083
479	tbx	0
480	tbz	0
481	?jf	0
482	tbu	8592
483	f ü	0
484	tbw	0
485	eg.	5073
486	eg-	3506
487	eg,	5350
488	eg!	0
489	eg 	55920
490	eg'	240
491	tbp	0
492	eg;	0
493	eg?	0
494	röz	0
495	röt	1866
496	rös	4764
497	éêx	0
498	èh 	0
499	egk	1098
500	egi	312805
501	egh	23352
502	ego	1194613
503	egn	30081
504	egm	19543
505	egl	68644
506	egc	810
507	ega	295909
508	egg	59137
509	egf	5881
510	ege	202031
511	egz	559
512	egy	26201
513	d:e	2661
514	egs	11451
515	egr	224788
516	xye	235
517	egw	1187
518	egu	69324
519	egt	1912
520	pnd	311
521	hbf	7647
522	oiv	82453
523	oiu	1369
524	oit	1525885
525	ois	3443974
526	oir	3647752
527	oiq	10179
528	oip	3457
529	urô	416
530	oiz	8639
531	oix	393888
532	oig	160231
533	uré	410027
534	oie	394342
535	oid	209533
536	oic	56433
537	oib	2362
538	oia	15441
539	oio	2771
540	oin	1694954
541	oim	8800
542	oil	245652
543	oik	4582
544	oij	1550
545	oii	668
546	oih	1067
547	jéê	0
548	duk	26036
549	dum	78971
550	oi?	2013
551	duo	31423
552	oi;	434
553	oi:	6594
554	êéã	0
555	oi'	0
556	oi!	1549
557	oi 	731849
558	oi.	44396
559	oi-	19449
560	oi,	81840
561	jé 	1337
562	duf	26930
563	ury	123061
564	urz	13155
565	duy	2584
566	urp	97260
567	urq	126077
568	urr	436343
569	urs	3976127
570	urt	719000
571	uru	153617
572	urv	153917
573	urw	3577
574	urh	15493
575	uri	1066948
576	urk	56443
577	url	298851
578	urm	75676
579	urn	1202702
580	uro	884417
581	ura	1389277
582	urb	321176
583	urc	798919
584	urd	364756
585	ure	4003895
586	urf	151334
587	urg	763350
588	jén	863
589	bói	0
590	s,b	329
591	dup	57466
592	jés	46645
593	ur:	69661
594	ur;	3076
595	ur?	1527
596	dut	43677
597	ur,	498483
598	ur-	384364
599	ur.	309945
600	ur 	14043945
601	ur!	3591
602	ur'	2200
603	bré	190749
604	öfe	1251
605	brá	1627
606	brà	0
607	brû	27074
608	brú	569
609	mn-	771
610	bró	822
611	hhv	0
612	brö	1109
613	aló	2423
614	rtw	7407
615	alú	603
616	alâ	1652
617	alà	1449
618	alá	10425
619	gv 	11521
620	alê	296
621	gv,	1140
622	alé	145313
623	eää	0
624	alí	4573
625	nfü	2327
626	gvs	223
627	êe,	0
628	gvb	0
629	gva	4549
630	gvm	0
631	gvh	0
632	gvi	3771
633	bri	1053013
634	bro	539851
635	brn	5610
636	xlq	0
637	brl	530
638	brc	638
639	bra	739700
